                   i          analytical          reccurence      relative error           abs error
                   0                   1                   1                   0                   0
                   1            0.333333            0.333333                   0                   0
                   2            0.111111            0.111111          3.4972e-15         3.88578e-16
                   3            0.037037            0.037037         6.72587e-14         2.49106e-15
                   4           0.0123457           0.0123457         1.21838e-12         1.50418e-14
                   5          0.00411523          0.00411523         2.19377e-11         9.02785e-14
                   6          0.00137174          0.00137174         3.94889e-10         5.41686e-13
                   7         0.000457247         0.000457247         7.10801e-09         3.25012e-12
                   8         0.000152416         0.000152416         1.27944e-07         1.95007e-11
                   9         5.08053e-05         5.08051e-05           2.303e-06         1.17004e-10
                  10         1.69351e-05         1.69344e-05         4.14539e-05         7.02026e-10
                  11         5.64503e-06         5.64082e-06         0.000746171         4.21216e-09
                  12         1.88168e-06          1.8564e-06           0.0134311         2.52729e-08
                  13         6.27225e-07         4.75588e-07            0.241759         1.51638e-07
                  14         2.09075e-07        -7.00751e-07             4.35167         9.09826e-07
                  15         6.96917e-08        -5.38926e-06               78.33         5.45895e-06
                  16         2.32306e-08        -3.27305e-05             1409.94         3.27537e-05
                  17         7.74352e-09        -0.000196515             25378.9         0.000196522
                  18         2.58117e-09         -0.00117913              456821          0.00117913
                  19         8.60392e-10          -0.0070748         8.22277e+06          0.00707481
                  20         2.86797e-10          -0.0424488          1.4801e+08           0.0424488
