                   n          analytical          reccurence      relative error           abs error
                   0                   1                   1                   0                   0
                   1            0.333333            0.333333         2.98023e-08         9.93411e-09
                   2            0.111111            0.111111         7.45058e-08         8.27842e-09
                   3            0.037037            0.037037         1.08033e-07         4.00124e-09
                   4           0.0123457           0.0123457         8.28889e-08         1.02332e-09
                   5          0.00411523          0.00411523         1.96065e-07         8.06853e-10
                   6          0.00137174          0.00137174         1.68149e-07         2.30658e-10
                   7         0.000457247         0.000457247         1.96079e-07         8.96567e-11
                   8         0.000152416         0.000152416         3.80565e-07         5.80042e-11
                   9         5.08053e-05         5.08051e-05         2.55562e-06         1.29839e-10
                  10         1.69351e-05         1.69344e-05         4.17782e-05         7.07517e-10
                  11         5.64503e-06         5.64082e-06         0.000746522         4.21414e-09
                  12         1.88168e-06          1.8564e-06           0.0134314         2.52736e-08
                  13         6.27226e-07         4.75588e-07             0.24176         1.51638e-07
                  14         2.09075e-07        -7.00751e-07             4.35167         9.09826e-07
                  15         6.96918e-08        -5.38926e-06               78.33         5.45895e-06
                  16         2.32306e-08        -3.27305e-05             1409.94         3.27537e-05
                  17         7.74353e-09        -0.000196515             25378.9         0.000196522
                  18         2.58118e-09         -0.00117913              456821          0.00117913
                  19         8.60392e-10          -0.0070748         8.22277e+06          0.00707481
                  20         2.86797e-10          -0.0424488          1.4801e+08           0.0424488
